date,user_id,type,value
2019-06-23T05:03:19.299Z,2012,sleep,1.58973145485
2019-01-11T14:30:02.775Z,3782,sleep,0.977735996246
2018-10-15T03:53:39.982Z,2012,mood,2.28
2019-05-09T14:05:54.435Z,6510,mood,3.35521793365
2019-06-10T12:06:41.255Z,2729,mood,3.0
2018-10-01T02:39:58.944Z,5141,sleep,0.992869377136
2019-07-10T12:14:04.157Z,2802,sleep,3.49654459953
2019-04-21T17:14:23.055Z,2012,mood,1.52
2018-12-19T19:25:19.142Z,4209,sleep,3.28
2018-10-04T12:12:04.744Z,2012,mood,3.0
2019-03-23T12:44:51.851Z,4209,mood,1.14373350143
2019-01-17T01:46:36.189Z,2432,sleep,1.61540389061
2019-06-16T18:47:41.807Z,650,mood,2.0
2019-06-01T14:23:23.764Z,2025,mood,2.1599998
2019-06-16T16:15:14.587Z,603,sleep,3.2
2019-01-09T14:42:15.503Z,2802,sleep,0.806627750397
2019-02-07T13:21:21.465Z,1714,sleep,4.0
2018-10-15T03:53:39.982Z,603,mood,2.29063653946
2018-11-26T15:45:23.248Z,2972,sleep,1.8800001
2019-01-09T00:37:31.536Z,2012,mood,3.68
2019-06-27T22:34:32.319Z,5333,ruminationStress,2.50982069969
2018-11-27T20:05:24.998Z,2802,sleep,2.92
2019-07-15T13:05:31.029Z,1411,mood,3.65613126755
2018-10-31T14:58:15.613Z,597,anticipatoryStress,1.57761859894
2018-11-08T21:31:07.757Z,1411,sleep,1.84102511406
2019-05-08T12:07:33.690Z,3473,sleep,4.0
2018-12-15T13:16:59.405Z,4612,sleep,3.12
2019-04-22T12:50:22.194Z,2802,sleep,3.20152974129
2019-06-07T12:09:46.165Z,7556,sleep,3.88079452515
2019-06-22T12:01:40.368Z,1044,mood,2.45257425308
2018-12-08T13:35:50.135Z,1673,mood,0.0
2019-04-19T17:24:58.348Z,1822,mood,2.8400002
2019-07-23T17:03:57.498Z,3782,sleep,2.0
2019-04-15T13:36:46.506Z,1044,sleep,1.8800001
2018-11-17T16:00:44.969Z,1309,sleep,3.53411054611
2018-10-14T01:03:22.257Z,2012,sleep,2.52
2018-12-19T13:19:57.200Z,4209,mood,0.986011266708
2019-03-24T15:08:09.248Z,2432,sleep,0.5999999
2019-01-01T14:03:21.519Z,2802,sleep,0.5999999
2019-06-07T13:05:07.677Z,1506,mood,2.72
2018-09-10T14:51:21.399Z,2432,sleep,0.76
2019-01-30T14:30:52.230Z,5232,mood,1.8399999
